set,id
3549.2,nba048
3550.0,nba044a
3550.2,nba044a
3560.0,nba006
3560.0,nba005
3560.0,nba004
3561.0,nba024
3561.0,nba022
3561.0,nba023
3562.0,nba008
3562.0,nba009
3562.0,nba007
3563.0,nba002
3563.0,nba001
3563.0,nba003
3564.0,nba010
3564.0,nba012
3564.0,nba011
3565.0,nba017
3565.0,nba016
3565.0,nba018
3566.0,nba021
3566.0,nba019
3566.0,nba020
3567.0,nba014
3567.0,nba013
3567.0,nba015
3568.0,soc133
3568.0,soc134
3569.0,soc117
3569.0,soc116
3569.0,soc114
3569.0,soc115
3569.0,soc121
3569.0,soc119
3569.0,soc122
3569.0,soc118
3569.0,soc120
3569.0,soc127
3569.0,soc126
3569.0,soc124
3569.0,soc125
3569.0,soc123
3570.0,soc130
3570.0,soc129
3570.0,soc128
3570.0,soc131
3573.0,soc132
3578.0,hky001
3578.0,hky002
3578.0,hky003
3578.0,hky004
3578.0,hky005
3578.0,hky006
3578.0,hky007
3578.0,hky008
3579.0,hky009
3579.0,hky010
3584.0,nba027
3585.0,gg009
3585.0,gg008
3586.0,4555pb153
3587.0,4555pb197
3588.0,4555pb196
3589.0,4555pb140
3590.0,4555pb178
3594.0,btb013
3595.0,btb012
3596.0,btb009
3597.0,btb008
3597.0,btb007
3605.2,6453pb037
3605.2,6453pb035
3606.0,6453pb023
3607.0,4555pb135
3608.0,6453pb023
3608.0,6453pb034
3608.0,6453pb021
3608.0,4555pb007
3609.0,6453pb034
3610.0,6453pb008
3611.0,4555pb206
3612.0,4555pb104
3612.0,4555pb103
3613.0,4555pb151
3613.0,4555pb251
3614.0,4555pb201
3614.0,4555pb193
3614.0,4555pb041
3615.2,6453pb009
3615.2,6453pb019
3615.2,31181pb02
3615.2,4555pb072
3615.2,4555pb054
3616.0,4555pb053
3616.0,4555pb090
3616.0,4555pb059
3617.0,6453pb040
3617.0,6453pb036
3617.0,4555pb175
3618.0,6453pb021
3618.0,4555pb152
3618.0,4555pb137
3619.0,6453pb008
3619.0,4555pb017
3619.0,4555pb007
3619.0,4555pb060
3619.0,4555pb029
3619.0,4555pb040
3619.0,4555pb034
3620.0,6453pb003
3620.0,6453pb020
3620.0,4555pb022
3620.0,4555pb028
3621.0,4555pb005
3621.0,4555pb025
3648.0,cty0240
3648.0,cty0242
3648.0,cty0241
3651.0,baby010
3655.0,4555pb198
3655.0,4555pb136
3656.0,4555pb143
3656.0,4555pb144
3656.0,4555pb147
3656.0,4555pb148
3657.0,4555pb194
3657.0,4555pb136
3657.0,4555pb250
3658.0,cty0040
3658.0,cty0098
3658.0,cty0230
3661.0,cty0220
3661.0,cty0219
3661.0,cty0218
3661.0,cty0217
3677.0,trn226
3677.0,trn231
3677.0,trn232
3677.0,trn230
3696.0,45219c03
3697.0,45219c02
3698.0,45219c01
3699.0,45219c04
3700.0,45219c04
3700.0,45219c02
3700.0,45219c01
3739.0,cas204
3739.0,cas207
3770.0,47394pb048
3772.0,47394pb046
3772.0,47394pb063
3772.0,47394pb062
3778.0,47394pb040
3778.0,47394pb038
3815.0,bob025
3815.0,bob026
3815.0,bob027
3816.0,bob029
3816.0,bob028
3816.0,bob030
3816.0,bob031
3817.0,bob032
3817.0,bob034
3817.0,bob033
3818.0,bob036
3818.0,bob035
3818.0,bob038
3818.0,bob037
3825.0,bob005
3825.0,bob001
3825.0,bob003
3827.0,bob002
3827.0,bob001
3827.0,bob003
3828.0,ava001
3828.0,ava004
3828.0,ava003
3828.0,ava002
3829.0,ava001
3829.0,ava004
3829.0,ava003
3829.0,ava007
3829.0,ava006
3830.0,bob002
3830.0,bob001
3830.0,bob015
3831.0,bob013
3831.0,bob012
3831.0,bob014
3832.0,bob002
3832.0,bob017
3832.0,bob016
3833.0,bob023
3833.0,bob022
3833.0,bob021
3834.0,bob002
3834.0,bob019
3834.0,bob020
3838.0,85863pb001
3838.0,85863pb003
3838.0,85863pb002
3838.0,85863pb004
3840.0,gen026
